entry_index,positive_affect_llm,negative_affect_llm,model,status,error
4180,0.6,0.3,gpt-4.1-mini,success,
4189,0.6,0.4,gpt-4.1-mini,success,
4196,0.6,0.3,gpt-4.1-mini,success,
4204,0.2,0.8,gpt-4.1-mini,success,
4216,0.4,0.2,gpt-4.1-mini,success,
4235,0.1,0.8,gpt-4.1-mini,success,
4249,0.1,0.9,gpt-4.1-mini,success,
4258,0.1,0.9,gpt-4.1-mini,success,
4267,0.8,0.2,gpt-4.1-mini,success,
4275,0.7,0.3,gpt-4.1-mini,success,
4283,0.6,0.2,gpt-4.1-mini,success,
4290,0.1,0.9,gpt-4.1-mini,success,
4299,0.1,0.1,gpt-4.1-mini,success,
4314,0.7,0.1,gpt-4.1-mini,success,
4321,0.4,0.6,gpt-4.1-mini,success,
4343,0.4,0.4,gpt-4.1-mini,success,
4360,0.6,0.4,gpt-4.1-mini,success,
4369,0.2,0.8,gpt-4.1-mini,success,
4386,0.85,0.1,gpt-4.1-mini,success,
4400,0.6,0.4,gpt-4.1-mini,success,
4417,0.3,0.1,gpt-4.1-mini,success,
4422,0.7,0.1,gpt-4.1-mini,success,
4428,0.3,0.1,gpt-4.1-mini,success,
4466,0.85,0.1,gpt-4.1-mini,success,
4474,0.6,0.4,gpt-4.1-mini,success,
4483,0.8,0.2,gpt-4.1-mini,success,
4498,0.2,0.1,gpt-4.1-mini,success,
4504,0.7,0.0,gpt-4.1-mini,success,
4509,0.95,0.05,gpt-4.1-mini,success,
4514,0.9,0.1,gpt-4.1-mini,success,
4522,0.4,0.3,gpt-4.1-mini,success,
4531,0.85,0.15,gpt-4.1-mini,success,
4539,0.6,0.3,gpt-4.1-mini,success,
4548,0.4,0.6,gpt-4.1-mini,success,
4556,0.8,0.2,gpt-4.1-mini,success,
4564,0.6,0.0,gpt-4.1-mini,success,
4573,0.2,0.6,gpt-4.1-mini,success,
4590,0.6,0.3,gpt-4.1-mini,success,
4609,0.85,0.1,gpt-4.1-mini,success,
4637,0.8,0.1,gpt-4.1-mini,success,
4653,0.6,0.4,gpt-4.1-mini,success,
4663,0.8,0.2,gpt-4.1-mini,success,
4672,0.8,0.1,gpt-4.1-mini,success,
4679,0.8,0.1,gpt-4.1-mini,success,
4690,0.9,0.1,gpt-4.1-mini,success,
4697,0.3,0.7,gpt-4.1-mini,success,
4707,0.7,0.2,gpt-4.1-mini,success,
4730,0.7,0.1,gpt-4.1-mini,success,
4744,0.7,0.2,gpt-4.1-mini,success,
4753,0.4,0.6,gpt-4.1-mini,success,
4764,0.8,0.0,gpt-4.1-mini,success,
4782,0.6,0.3,gpt-4.1-mini,success,
4796,0.8,0.1,gpt-4.1-mini,success,
4802,0.4,0.6,gpt-4.1-mini,success,
4809,0.2,0.8,gpt-4.1-mini,success,
4823,0.6,0.3,gpt-4.1-mini,success,
4842,0.2,0.8,gpt-4.1-mini,success,
4857,0.6,0.4,gpt-4.1-mini,success,
4873,0.3,0.7,gpt-4.1-mini,success,
4902,0.4,0.6,gpt-4.1-mini,success,
4921,0.4,0.6,gpt-4.1-mini,success,
4945,0.7,0.3,gpt-4.1-mini,success,
4958,0.7,0.2,gpt-4.1-mini,success,
4969,0.7,0.0,gpt-4.1-mini,success,
4975,0.7,0.2,gpt-4.1-mini,success,
4980,0.3,0.7,gpt-4.1-mini,success,
4990,0.3,0.7,gpt-4.1-mini,success,
5000,0.4,0.6,gpt-4.1-mini,success,
5013,0.7,0.3,gpt-4.1-mini,success,
5028,0.8,0.2,gpt-4.1-mini,success,
5035,0.6,0.1,gpt-4.1-mini,success,
5042,0.7,0.2,gpt-4.1-mini,success,
5058,0.7,0.1,gpt-4.1-mini,success,
5069,0.2,0.6,gpt-4.1-mini,success,
5077,0.1,0.6,gpt-4.1-mini,success,
5080,0.7,0.3,gpt-4.1-mini,success,
5090,0.6,0.3,gpt-4.1-mini,success,
5106,0.6,0.4,gpt-4.1-mini,success,
5117,0.7,0.2,gpt-4.1-mini,success,
5144,0.8,0.2,gpt-4.1-mini,success,
5147,0.3,0.5,gpt-4.1-mini,success,
5160,0.7,0.3,gpt-4.1-mini,success,
5173,0.7,0.0,gpt-4.1-mini,success,
5177,0.6,0.3,gpt-4.1-mini,success,
5185,0.6,0.4,gpt-4.1-mini,success,
5196,0.4,0.3,gpt-4.1-mini,success,
5211,0.4,0.6,gpt-4.1-mini,success,
5247,0.9,0.0,gpt-4.1-mini,success,
5266,0.1,0.9,gpt-4.1-mini,success,
5279,0.4,0.5,gpt-4.1-mini,success,
5290,0.7,0.3,gpt-4.1-mini,success,
5317,0.0,0.0,gpt-4.1-mini,success,
5330,0.3,0.4,gpt-4.1-mini,success,
5370,0.1,0.6,gpt-4.1-mini,success,
5378,0.9,0.0,gpt-4.1-mini,success,
5384,0.3,0.2,gpt-4.1-mini,success,
5389,0.6,0.2,gpt-4.1-mini,success,
5397,0.6,0.2,gpt-4.1-mini,success,
5407,0.6,0.3,gpt-4.1-mini,success,
5421,0.3,0.0,gpt-4.1-mini,success,
5430,0.85,0.05,gpt-4.1-mini,success,
5440,0.85,0.1,gpt-4.1-mini,success,
5448,0.8,0.0,gpt-4.1-mini,success,
5458,0.6,0.4,gpt-4.1-mini,success,
5467,0.9,0.0,gpt-4.1-mini,success,
5470,0.0,0.0,gpt-4.1-mini,success,
5480,0.7,0.0,gpt-4.1-mini,success,
5497,0.7,0.3,gpt-4.1-mini,success,
5503,0.1,0.0,gpt-4.1-mini,success,
5511,0.8,0.0,gpt-4.1-mini,success,
5514,0.5,0.5,gpt-4.1-mini,success,
5520,0.9,0.0,gpt-4.1-mini,success,
5523,0.7,0.1,gpt-4.1-mini,success,
5534,0.0,0.0,gpt-4.1-mini,success,
5537,0.6,0.3,gpt-4.1-mini,success,
5550,0.2,0.8,gpt-4.1-mini,success,
5558,0.4,0.0,gpt-4.1-mini,success,
5574,0.2,0.8,gpt-4.1-mini,success,
5610,0.3,0.4,gpt-4.1-mini,success,
5627,0.3,0.2,gpt-4.1-mini,success,
5638,0.2,0.6,gpt-4.1-mini,success,
5664,0.2,0.8,gpt-4.1-mini,success,
5705,0.2,0.8,gpt-4.1-mini,success,
5727,0.6,0.3,gpt-4.1-mini,success,
5731,0.0,0.1,gpt-4.1-mini,success,
5766,0.8,0.0,gpt-4.1-mini,success,
5776,0.8,0.1,gpt-4.1-mini,success,
5809,0.95,0.0,gpt-4.1-mini,success,
5830,0.85,0.1,gpt-4.1-mini,success,
5846,0.4,0.3,gpt-4.1-mini,success,
5892,0.8,0.1,gpt-4.1-mini,success,
5937,0.3,0.2,gpt-4.1-mini,success,
5943,0.6,0.3,gpt-4.1-mini,success,
5969,0.2,0.6,gpt-4.1-mini,success,
5992,0.2,0.6,gpt-4.1-mini,success,
6032,0.1,0.0,gpt-4.1-mini,success,
6058,0.1,0.0,gpt-4.1-mini,success,
6080,0.3,0.2,gpt-4.1-mini,success,
6089,0.7,0.1,gpt-4.1-mini,success,
6100,0.4,0.5,gpt-4.1-mini,success,
6124,0.7,0.1,gpt-4.1-mini,success,
6143,0.6,0.4,gpt-4.1-mini,success,
6170,0.95,0.05,gpt-4.1-mini,success,
6198,0.5,0.5,gpt-4.1-mini,success,
6237,0.6,0.4,gpt-4.1-mini,success,
6275,0.3,0.5,gpt-4.1-mini,success,
6313,0.3,0.1,gpt-4.1-mini,success,
6342,0.2,0.1,gpt-4.1-mini,success,
6356,0.0,0.0,gpt-4.1-mini,success,
6362,0.0,0.1,gpt-4.1-mini,success,
6378,0.7,0.0,gpt-4.1-mini,success,
6383,0.1,0.0,gpt-4.1-mini,success,
6395,0.0,0.0,gpt-4.1-mini,success,
6401,0.3,0.0,gpt-4.1-mini,success,
6407,0.1,0.3,gpt-4.1-mini,success,
6423,0.1,0.1,gpt-4.1-mini,success,
6429,0.1,0.1,gpt-4.1-mini,success,
6462,0.3,0.0,gpt-4.1-mini,success,
6485,0.7,0.0,gpt-4.1-mini,success,
6529,0.0,0.8,gpt-4.1-mini,success,
6557,0.6,0.2,gpt-4.1-mini,success,
6573,0.0,0.0,gpt-4.1-mini,success,
6583,0.8,0.0,gpt-4.1-mini,success,
6594,0.1,0.8,gpt-4.1-mini,success,
6607,0.1,0.8,gpt-4.1-mini,success,
6621,0.0,0.8,gpt-4.1-mini,success,
6647,0.6,0.1,gpt-4.1-mini,success,
6678,0.6,0.3,gpt-4.1-mini,success,
6699,0.85,0.15,gpt-4.1-mini,success,
6718,0.9,0.0,gpt-4.1-mini,success,
6740,0.7,0.3,gpt-4.1-mini,success,
6771,0.2,0.8,gpt-4.1-mini,success,
6797,0.1,0.8,gpt-4.1-mini,success,
6825,0.2,0.6,gpt-4.1-mini,success,
6848,0.4,0.3,gpt-4.1-mini,success,
6868,0.85,0.1,gpt-4.1-mini,success,
6900,0.2,0.8,gpt-4.1-mini,success,
6929,0.1,0.9,gpt-4.1-mini,success,
6951,0.4,0.1,gpt-4.1-mini,success,
6974,0.4,0.3,gpt-4.1-mini,success,
6978,0.8,0.2,gpt-4.1-mini,success,
7005,0.6,0.4,gpt-4.1-mini,success,
7046,0.4,0.3,gpt-4.1-mini,success,
7083,0.4,0.5,gpt-4.1-mini,success,
7114,0.2,0.8,gpt-4.1-mini,success,
7141,0.3,0.4,gpt-4.1-mini,success,
7160,0.7,0.1,gpt-4.1-mini,success,
7178,0.0,0.0,gpt-4.1-mini,success,
7212,0.7,0.3,gpt-4.1-mini,success,
7242,0.85,0.05,gpt-4.1-mini,success,
7269,0.4,0.6,gpt-4.1-mini,success,
7308,0.6,0.4,gpt-4.1-mini,success,
7344,0.3,0.7,gpt-4.1-mini,success,
7354,0.4,0.6,gpt-4.1-mini,success,
7368,0.85,0.15,gpt-4.1-mini,success,
7377,0.3,0.7,gpt-4.1-mini,success,
7387,0.3,0.7,gpt-4.1-mini,success,
7398,0.7,0.1,gpt-4.1-mini,success,
7404,0.1,0.9,gpt-4.1-mini,success,
7411,0.7,0.1,gpt-4.1-mini,success,
7417,0.1,0.0,gpt-4.1-mini,success,
7466,0.9,0.0,gpt-4.1-mini,success,
7469,0.3,0.7,gpt-4.1-mini,success,
7499,0.6,0.1,gpt-4.1-mini,success,
7504,0.4,0.3,gpt-4.1-mini,success,
7530,0.8,0.0,gpt-4.1-mini,success,
7534,0.5,0.4,gpt-4.1-mini,success,
7546,0.4,0.6,gpt-4.1-mini,success,
7562,0.7,0.3,gpt-4.1-mini,success,
7623,0.6,0.7,gpt-4.1-mini,success,
7652,0.7,0.3,gpt-4.1-mini,success,
7684,0.6,0.4,gpt-4.1-mini,success,
7704,0.3,0.7,gpt-4.1-mini,success,
7716,0.6,0.4,gpt-4.1-mini,success,
7724,0.4,0.6,gpt-4.1-mini,success,
7734,0.4,0.4,gpt-4.1-mini,success,
7746,0.2,0.4,gpt-4.1-mini,success,
7785,0.2,0.1,gpt-4.1-mini,success,
7813,0.6,0.1,gpt-4.1-mini,success,
7827,0.3,0.2,gpt-4.1-mini,success,
7833,0.6,0.3,gpt-4.1-mini,success,
7856,0.6,0.3,gpt-4.1-mini,success,
7884,0.6,0.1,gpt-4.1-mini,success,
7893,0.6,0.0,gpt-4.1-mini,success,
7899,0.2,0.8,gpt-4.1-mini,success,
7921,0.3,0.1,gpt-4.1-mini,success,
7926,0.8,0.1,gpt-4.1-mini,success,
7934,0.6,0.0,gpt-4.1-mini,success,
7940,0.3,0.1,gpt-4.1-mini,success,
7945,0.3,0.0,gpt-4.1-mini,success,
7951,0.7,0.1,gpt-4.1-mini,success,
7969,0.7,0.3,gpt-4.1-mini,success,
7980,0.1,0.4,gpt-4.1-mini,success,
8017,0.7,0.3,gpt-4.1-mini,success,
8026,0.8,0.0,gpt-4.1-mini,success,
8032,0.75,0.25,gpt-4.1-mini,success,
8038,0.8,0.0,gpt-4.1-mini,success,
8042,0.2,0.4,gpt-4.1-mini,success,
8053,0.0,0.7,gpt-4.1-mini,success,
8064,0.6,0.4,gpt-4.1-mini,success,
8094,0.3,0.4,gpt-4.1-mini,success,
8125,0.7,0.0,gpt-4.1-mini,success,
8131,0.4,0.6,gpt-4.1-mini,success,
8139,0.7,0.1,gpt-4.1-mini,success,
8147,0.4,0.3,gpt-4.1-mini,success,
8156,0.1,0.9,gpt-4.1-mini,success,
8168,0.7,0.3,gpt-4.1-mini,success,
8176,0.7,0.1,gpt-4.1-mini,success,
8188,0.7,0.1,gpt-4.1-mini,success,
8197,0.6,0.2,gpt-4.1-mini,success,
8209,0.6,0.4,gpt-4.1-mini,success,
8224,0.1,0.8,gpt-4.1-mini,success,
8231,0.1,0.9,gpt-4.1-mini,success,
8239,0.3,0.7,gpt-4.1-mini,success,
8247,0.3,0.7,gpt-4.1-mini,success,
8257,0.6,0.4,gpt-4.1-mini,success,
8266,0.4,0.6,gpt-4.1-mini,success,
8274,0.65,0.35,gpt-4.1-mini,success,
8283,0.3,0.7,gpt-4.1-mini,success,
8352,0.1,0.7,gpt-4.1-mini,success,
8362,0.4,0.6,gpt-4.1-mini,success,
8377,0.3,0.7,gpt-4.1-mini,success,
8396,0.8,0.2,gpt-4.1-mini,success,
8416,0.8,0.1,gpt-4.1-mini,success,
8423,0.1,0.9,gpt-4.1-mini,success,
8433,0.1,0.9,gpt-4.1-mini,success,
8468,0.3,0.4,gpt-4.1-mini,success,
8506,0.6,0.2,gpt-4.1-mini,success,
8533,0.6,0.3,gpt-4.1-mini,success,
8545,0.1,0.9,gpt-4.1-mini,success,
8562,0.5,0.5,gpt-4.1-mini,success,
8589,0.7,0.3,gpt-4.1-mini,success,
8614,0.35,0.65,gpt-4.1-mini,success,
8641,0.2,0.8,gpt-4.1-mini,success,
8663,0.2,0.8,gpt-4.1-mini,success,
8717,0.4,0.3,gpt-4.1-mini,success,
8762,0.4,0.6,gpt-4.1-mini,success,
8794,0.3,0.4,gpt-4.1-mini,success,
8817,0.3,0.7,gpt-4.1-mini,success,
8836,0.3,0.4,gpt-4.1-mini,success,
8857,0.3,0.7,gpt-4.1-mini,success,
8886,0.75,0.15,gpt-4.1-mini,success,
8914,0.4,0.6,gpt-4.1-mini,success,
8943,0.2,0.8,gpt-4.1-mini,success,
8955,0.7,0.3,gpt-4.1-mini,success,
8967,0.85,0.15,gpt-4.1-mini,success,
8982,0.3,0.7,gpt-4.1-mini,success,
8995,0.6,0.2,gpt-4.1-mini,success,
9007,0.4,0.3,gpt-4.1-mini,success,
9017,0.9,0.1,gpt-4.1-mini,success,
9031,0.9,0.1,gpt-4.1-mini,success,
9040,0.8,0.1,gpt-4.1-mini,success,
9050,0.6,0.1,gpt-4.1-mini,success,
